,Username,Positive,Negative,Neutral,Overall
278,@mikelawrence813,13.425356125356132,8.442735042735041,78.12991452991457,Negative
279,@whcovidresponse,7.397435897435899,1.415384615384615,91.1880341880342,Neutral
280,@rdsj0101,20.454700854700857,10.037606837606834,69.50826210826212,Neutral
281,@otherjoebiden,11.13903133903134,11.661823361823362,77.19800569800576,Neutral
282,@ncfarmer321,8.907977207977204,16.333048433048425,74.75868945868942,Negative
283,@dearpotus46,15.615384615384619,3.267521367521367,81.11709401709403,Neutral
284,@biden4pres,11.2960113960114,6.317663817663818,82.3863247863248,Neutral
285,@mrscowpie,7.216809116809117,8.284615384615384,84.4991452991453,Positive
286,@people4kam,11.894586894586892,6.363817663817662,81.74159544159541,Neutral
287,@jakejsullivan,15.85263157894737,13.057894736842105,71.09473684210528,Positive
288,@evergreenaction,16.057549857549855,4.147293447293446,79.79629629629632,Positive
289,@bidenswins,21.62934472934473,5.843874643874643,72.5273504273505,Positive
290,@zena1clark,3.431339031339031,1.6339031339031331,94.9336182336182,Neutral
291,@whitehouse,11.40940170940171,4.978347578347577,83.61424501424501,Neutral
292,@joebidenprdy2,6.821568627450981,9.357352941176472,83.82254901960786,Negative
293,@designationsix,6.417094017094016,6.96866096866097,86.6145299145299,Negative
294,@antonio,10.164957264957263,5.8686609686609685,83.96752136752137,Positive
295,@trumpmuseveni,13.467272727272727,3.581818181818181,82.95090909090906,Positive
296,@ggirl09r,25.057549857549855,4.762108262108262,70.18034188034184,Neutral
297,@joebiden,12.466666666666665,5.807977207977209,81.72250712250705,Neutral
298,@ericliptonnyt,7.527635327635324,7.292877492877485,85.18005698005706,Negative
299,@cobycovfefe,18.81623931623931,8.177492877492877,73.00598290598295,Negative
300,@americajust,6.493732193732194,5.277777777777778,88.22820512820516,Negative
301,@kurt_themayor,14.527350427350424,9.288319088319088,76.18376068376064,Neutral
302,up,18.084330484330494,1.8433048433048431,80.07122507122509,Positive
303,@potus,14.118518518518515,5.884900284900287,79.99487179487183,Positive
304,@nwinston,10.240170940170938,2.222507122507122,87.5376068376068,Neutral
305,@biden_will,17.05342960288808,10.93465703971119,72.01010830324911,Positive
306,@trumplola,11.423361823361821,6.452991452991456,82.12279202279197,Positive
307,@nabru72118710,15.897150997150991,6.270655270655269,77.83333333333333,Positive
308,@kentjuvenile,7.137321937321939,3.6754985754985743,89.18689458689461,Positive
309,@joebidenprdy,11.04273504273504,11.477777777777778,77.4794871794872,Neutral
310,@biden_nhl,15.252046783625728,6.653801169590644,78.09649122807014,Negative
311,@lzimmerman2019,9.50740740740741,8.684900284900293,81.80712250712246,Negative
312,@potusreply,23.03333333333333,5.5,71.46666666666667,Positive
313,@mikelawrence813,13.425356125356132,8.442735042735041,78.12991452991457,Negative
314,@whcovidresponse,7.397435897435899,1.415384615384615,91.1880341880342,Neutral
315,@rdsj0101,20.454700854700857,10.037606837606834,69.50826210826212,Neutral
316,@otherjoebiden,11.13903133903134,11.661823361823362,77.19800569800576,Neutral
317,@ncfarmer321,8.907977207977204,16.333048433048425,74.75868945868942,Negative
318,@dearpotus46,15.615384615384619,3.267521367521367,81.11709401709403,Neutral
319,@biden4pres,11.2960113960114,6.317663817663818,82.3863247863248,Neutral
320,@mrscowpie,7.216809116809117,8.284615384615384,84.4991452991453,Positive
321,@people4kam,11.894586894586892,6.363817663817662,81.74159544159541,Neutral
322,@jakejsullivan,15.85263157894737,13.057894736842105,71.09473684210528,Positive
323,@evergreenaction,16.057549857549855,4.147293447293446,79.79629629629632,Positive
324,@bidenswins,21.62934472934473,5.843874643874643,72.5273504273505,Positive
325,@zena1clark,3.431339031339031,1.6339031339031331,94.9336182336182,Neutral
326,@whitehouse,11.40940170940171,4.978347578347577,83.61424501424501,Neutral
327,@joebidenprdy2,6.821568627450981,9.357352941176472,83.82254901960786,Negative
328,@designationsix,6.417094017094016,6.96866096866097,86.6145299145299,Negative
329,@antonio,10.164957264957263,5.8686609686609685,83.96752136752137,Positive
330,@trumpmuseveni,13.467272727272727,3.581818181818181,82.95090909090906,Positive
331,@ggirl09r,25.057549857549855,4.762108262108262,70.18034188034184,Neutral
332,@joebiden,12.466666666666665,5.807977207977209,81.72250712250705,Neutral
333,@ericliptonnyt,7.527635327635324,7.292877492877485,85.18005698005706,Negative
334,@cobycovfefe,18.81623931623931,8.177492877492877,73.00598290598295,Negative
335,@americajust,6.493732193732194,5.277777777777778,88.22820512820516,Negative
336,@kurt_themayor,14.527350427350424,9.288319088319088,76.18376068376064,Neutral
337,up,18.084330484330494,1.8433048433048431,80.07122507122509,Positive
338,@potus,14.118518518518515,5.884900284900287,79.99487179487183,Positive
339,@nwinston,10.240170940170938,2.222507122507122,87.5376068376068,Neutral
340,@biden_will,17.05342960288808,10.93465703971119,72.01010830324911,Positive
341,@trumplola,11.423361823361821,6.452991452991456,82.12279202279197,Positive
342,@nabru72118710,15.897150997150991,6.270655270655269,77.83333333333333,Positive
343,@kentjuvenile,7.137321937321939,3.6754985754985743,89.18689458689461,Positive
344,@joebidenprdy,11.04273504273504,11.477777777777778,77.4794871794872,Neutral
345,@biden_nhl,15.252046783625728,6.653801169590644,78.09649122807014,Negative
346,@lzimmerman2019,9.50740740740741,8.684900284900293,81.80712250712246,Negative
347,@potusreply,23.03333333333333,5.5,71.46666666666667,Positive
348,@mikelawrence813,13.425356125356132,8.442735042735041,78.12991452991457,Negative
349,@whcovidresponse,7.397435897435899,1.415384615384615,91.1880341880342,Neutral
350,@rdsj0101,20.454700854700857,10.037606837606834,69.50826210826212,Neutral
351,@otherjoebiden,11.13903133903134,11.661823361823362,77.19800569800576,Neutral
352,@ncfarmer321,8.907977207977204,16.333048433048425,74.75868945868942,Negative
353,@dearpotus46,15.615384615384619,3.267521367521367,81.11709401709403,Neutral
354,@biden4pres,11.2960113960114,6.317663817663818,82.3863247863248,Neutral
355,@mrscowpie,7.216809116809117,8.284615384615384,84.4991452991453,Positive
356,@people4kam,11.894586894586892,6.363817663817662,81.74159544159541,Neutral
357,@jakejsullivan,15.85263157894737,13.057894736842105,71.09473684210528,Positive
358,@evergreenaction,16.057549857549855,4.147293447293446,79.79629629629632,Positive
359,@bidenswins,21.62934472934473,5.843874643874643,72.5273504273505,Positive
360,@zena1clark,3.431339031339031,1.6339031339031331,94.9336182336182,Neutral
361,@whitehouse,11.40940170940171,4.978347578347577,83.61424501424501,Neutral
362,@joebidenprdy2,6.821568627450981,9.357352941176472,83.82254901960786,Negative
363,@designationsix,6.417094017094016,6.96866096866097,86.6145299145299,Negative
364,@antonio,10.164957264957263,5.8686609686609685,83.96752136752137,Positive
365,@trumpmuseveni,13.467272727272727,3.581818181818181,82.95090909090906,Positive
366,@ggirl09r,25.057549857549855,4.762108262108262,70.18034188034184,Neutral
367,@joebiden,12.466666666666665,5.807977207977209,81.72250712250705,Neutral
368,@ericliptonnyt,7.527635327635324,7.292877492877485,85.18005698005706,Negative
369,@cobycovfefe,18.81623931623931,8.177492877492877,73.00598290598295,Negative
370,@americajust,6.493732193732194,5.277777777777778,88.22820512820516,Negative
371,@kurt_themayor,14.527350427350424,9.288319088319088,76.18376068376064,Neutral
372,up,18.084330484330494,1.8433048433048431,80.07122507122509,Positive
373,@potus,14.118518518518515,5.884900284900287,79.99487179487183,Positive
374,@nwinston,10.240170940170938,2.222507122507122,87.5376068376068,Neutral
375,@biden_will,17.05342960288808,10.93465703971119,72.01010830324911,Positive
376,@trumplola,11.423361823361821,6.452991452991456,82.12279202279197,Positive
377,@nabru72118710,15.897150997150991,6.270655270655269,77.83333333333333,Positive
378,@kentjuvenile,7.137321937321939,3.6754985754985743,89.18689458689461,Positive
379,@joebidenprdy,11.04273504273504,11.477777777777778,77.4794871794872,Neutral
380,@biden_nhl,15.252046783625728,6.653801169590644,78.09649122807014,Negative
381,@lzimmerman2019,9.50740740740741,8.684900284900293,81.80712250712246,Negative
382,@potusreply,23.03333333333333,5.5,71.46666666666667,Positive
383,@mikelawrence813,13.425356125356132,8.442735042735041,78.12991452991457,Negative
384,@whcovidresponse,7.397435897435899,1.415384615384615,91.1880341880342,Neutral
385,@rdsj0101,20.454700854700857,10.037606837606834,69.50826210826212,Neutral
386,@otherjoebiden,11.13903133903134,11.661823361823362,77.19800569800576,Neutral
387,@ncfarmer321,8.907977207977204,16.333048433048425,74.75868945868942,Negative
388,@dearpotus46,15.615384615384619,3.267521367521367,81.11709401709403,Neutral
389,@biden4pres,11.2960113960114,6.317663817663818,82.3863247863248,Neutral
390,@mrscowpie,7.216809116809117,8.284615384615384,84.4991452991453,Positive
391,@people4kam,11.894586894586892,6.363817663817662,81.74159544159541,Neutral
392,@jakejsullivan,15.85263157894737,13.057894736842105,71.09473684210528,Positive
393,@evergreenaction,16.057549857549855,4.147293447293446,79.79629629629632,Positive
394,@bidenswins,21.62934472934473,5.843874643874643,72.5273504273505,Positive
395,@zena1clark,3.431339031339031,1.6339031339031331,94.9336182336182,Neutral
396,@whitehouse,11.40940170940171,4.978347578347577,83.61424501424501,Neutral
397,@joebidenprdy2,6.821568627450981,9.357352941176472,83.82254901960786,Negative
398,@designationsix,6.417094017094016,6.96866096866097,86.6145299145299,Negative
399,@antonio,10.164957264957263,5.8686609686609685,83.96752136752137,Positive
400,@trumpmuseveni,13.467272727272727,3.581818181818181,82.95090909090906,Positive
401,@ggirl09r,25.057549857549855,4.762108262108262,70.18034188034184,Neutral
402,@joebiden,12.466666666666665,5.807977207977209,81.72250712250705,Neutral
403,@ericliptonnyt,7.527635327635324,7.292877492877485,85.18005698005706,Negative
404,@cobycovfefe,18.81623931623931,8.177492877492877,73.00598290598295,Negative
405,@americajust,6.493732193732194,5.277777777777778,88.22820512820516,Negative
406,@kurt_themayor,14.527350427350424,9.288319088319088,76.18376068376064,Neutral
407,up,18.084330484330494,1.8433048433048431,80.07122507122509,Positive
408,@potus,14.118518518518515,5.884900284900287,79.99487179487183,Positive
409,@nwinston,10.240170940170938,2.222507122507122,87.5376068376068,Neutral
410,@biden_will,17.05342960288808,10.93465703971119,72.01010830324911,Positive
411,@trumplola,11.423361823361821,6.452991452991456,82.12279202279197,Positive
412,@nabru72118710,15.897150997150991,6.270655270655269,77.83333333333333,Positive
413,@kentjuvenile,7.137321937321939,3.6754985754985743,89.18689458689461,Positive
414,@joebidenprdy,11.04273504273504,11.477777777777778,77.4794871794872,Neutral
415,@biden_nhl,15.252046783625728,6.653801169590644,78.09649122807014,Negative
416,@lzimmerman2019,9.50740740740741,8.684900284900293,81.80712250712246,Negative
417,@potusreply,23.03333333333333,5.5,71.46666666666667,Positive
418,@mikelawrence813,13.425356125356132,8.442735042735041,78.12991452991457,Negative
419,@whcovidresponse,7.397435897435899,1.415384615384615,91.1880341880342,Neutral
420,@rdsj0101,20.454700854700857,10.037606837606834,69.50826210826212,Neutral
421,@otherjoebiden,11.13903133903134,11.661823361823362,77.19800569800576,Neutral
422,@ncfarmer321,8.907977207977204,16.333048433048425,74.75868945868942,Negative
423,@dearpotus46,15.615384615384619,3.267521367521367,81.11709401709403,Neutral
424,@biden4pres,11.2960113960114,6.317663817663818,82.3863247863248,Neutral
425,@mrscowpie,7.216809116809117,8.284615384615384,84.4991452991453,Positive
426,@people4kam,11.894586894586892,6.363817663817662,81.74159544159541,Neutral
427,@jakejsullivan,15.85263157894737,13.057894736842105,71.09473684210528,Positive
428,@evergreenaction,16.057549857549855,4.147293447293446,79.79629629629632,Positive
429,@bidenswins,21.62934472934473,5.843874643874643,72.5273504273505,Positive
430,@zena1clark,3.431339031339031,1.6339031339031331,94.9336182336182,Neutral
431,@whitehouse,11.40940170940171,4.978347578347577,83.61424501424501,Neutral
432,@joebidenprdy2,6.821568627450981,9.357352941176472,83.82254901960786,Negative
433,@designationsix,6.417094017094016,6.96866096866097,86.6145299145299,Negative
434,@antonio,10.164957264957263,5.8686609686609685,83.96752136752137,Positive
435,@trumpmuseveni,13.467272727272727,3.581818181818181,82.95090909090906,Positive
436,@ggirl09r,25.057549857549855,4.762108262108262,70.18034188034184,Neutral
437,@joebiden,12.466666666666665,5.807977207977209,81.72250712250705,Neutral
438,@ericliptonnyt,7.527635327635324,7.292877492877485,85.18005698005706,Negative
439,@cobycovfefe,18.81623931623931,8.177492877492877,73.00598290598295,Negative
440,@americajust,6.493732193732194,5.277777777777778,88.22820512820516,Negative
441,@kurt_themayor,14.527350427350424,9.288319088319088,76.18376068376064,Neutral
442,up,18.084330484330494,1.8433048433048431,80.07122507122509,Positive
443,@potus,14.118518518518515,5.884900284900287,79.99487179487183,Positive
444,@nwinston,10.240170940170938,2.222507122507122,87.5376068376068,Neutral
445,@biden_will,17.05342960288808,10.93465703971119,72.01010830324911,Positive
446,@trumplola,11.423361823361821,6.452991452991456,82.12279202279197,Positive
447,@nabru72118710,15.897150997150991,6.270655270655269,77.83333333333333,Positive
448,@kentjuvenile,7.137321937321939,3.6754985754985743,89.18689458689461,Positive
449,@joebidenprdy,11.04273504273504,11.477777777777778,77.4794871794872,Neutral
450,@biden_nhl,15.252046783625728,6.653801169590644,78.09649122807014,Negative
451,@lzimmerman2019,9.50740740740741,8.684900284900293,81.80712250712246,Negative
452,@potusreply,23.03333333333333,5.5,71.46666666666667,Positive
453,@mikelawrence813,13.425356125356132,8.442735042735041,78.12991452991457,Negative
454,@whcovidresponse,7.397435897435899,1.415384615384615,91.1880341880342,Neutral
455,@rdsj0101,20.454700854700857,10.037606837606834,69.50826210826212,Neutral
456,@otherjoebiden,11.13903133903134,11.661823361823362,77.19800569800576,Neutral
457,@ncfarmer321,8.907977207977204,16.333048433048425,74.75868945868942,Negative
458,@dearpotus46,15.615384615384619,3.267521367521367,81.11709401709403,Neutral
459,@biden4pres,11.2960113960114,6.317663817663818,82.3863247863248,Neutral
460,@mrscowpie,7.216809116809117,8.284615384615384,84.4991452991453,Positive
461,@people4kam,11.894586894586892,6.363817663817662,81.74159544159541,Neutral
462,@jakejsullivan,15.85263157894737,13.057894736842105,71.09473684210528,Positive
463,@evergreenaction,16.057549857549855,4.147293447293446,79.79629629629632,Positive
464,@bidenswins,21.62934472934473,5.843874643874643,72.5273504273505,Positive
465,@zena1clark,3.431339031339031,1.6339031339031331,94.9336182336182,Neutral
466,@whitehouse,11.40940170940171,4.978347578347577,83.61424501424501,Neutral
467,@joebidenprdy2,6.821568627450981,9.357352941176472,83.82254901960786,Negative
468,@designationsix,6.417094017094016,6.96866096866097,86.6145299145299,Negative
469,@antonio,10.164957264957263,5.8686609686609685,83.96752136752137,Positive
470,@trumpmuseveni,13.467272727272727,3.581818181818181,82.95090909090906,Positive
471,@ggirl09r,25.057549857549855,4.762108262108262,70.18034188034184,Neutral
472,@joebiden,12.466666666666665,5.807977207977209,81.72250712250705,Neutral
473,@ericliptonnyt,7.527635327635324,7.292877492877485,85.18005698005706,Negative
474,@cobycovfefe,18.81623931623931,8.177492877492877,73.00598290598295,Negative
475,@americajust,6.493732193732194,5.277777777777778,88.22820512820516,Negative
476,@kurt_themayor,14.527350427350424,9.288319088319088,76.18376068376064,Neutral
477,up,18.084330484330494,1.8433048433048431,80.07122507122509,Positive
478,@potus,14.118518518518515,5.884900284900287,79.99487179487183,Positive
479,@nwinston,10.240170940170938,2.222507122507122,87.5376068376068,Neutral
480,@biden_will,17.05342960288808,10.93465703971119,72.01010830324911,Positive
481,@trumplola,11.423361823361821,6.452991452991456,82.12279202279197,Positive
482,@nabru72118710,15.897150997150991,6.270655270655269,77.83333333333333,Positive
483,@kentjuvenile,7.137321937321939,3.6754985754985743,89.18689458689461,Positive
484,@joebidenprdy,11.04273504273504,11.477777777777778,77.4794871794872,Neutral
485,@biden_nhl,15.252046783625728,6.653801169590644,78.09649122807014,Negative
486,@lzimmerman2019,9.50740740740741,8.684900284900293,81.80712250712246,Negative
487,@potusreply,23.03333333333333,5.5,71.46666666666667,Positive
488,@mikelawrence813,13.425356125356132,8.442735042735041,78.12991452991457,Negative
489,@whcovidresponse,7.397435897435899,1.415384615384615,91.1880341880342,Neutral
490,@rdsj0101,20.454700854700857,10.037606837606834,69.50826210826212,Neutral
491,@otherjoebiden,11.13903133903134,11.661823361823362,77.19800569800576,Neutral
492,@ncfarmer321,8.907977207977204,16.333048433048425,74.75868945868942,Negative
493,@dearpotus46,15.615384615384619,3.267521367521367,81.11709401709403,Neutral
494,@biden4pres,11.2960113960114,6.317663817663818,82.3863247863248,Neutral
495,@mrscowpie,7.216809116809117,8.284615384615384,84.4991452991453,Positive
496,@people4kam,11.894586894586892,6.363817663817662,81.74159544159541,Neutral
497,@jakejsullivan,15.85263157894737,13.057894736842105,71.09473684210528,Positive
498,@evergreenaction,16.057549857549855,4.147293447293446,79.79629629629632,Positive
499,@bidenswins,21.62934472934473,5.843874643874643,72.5273504273505,Positive
500,@zena1clark,3.431339031339031,1.6339031339031331,94.9336182336182,Neutral
501,@whitehouse,11.40940170940171,4.978347578347577,83.61424501424501,Neutral
502,@joebidenprdy2,6.821568627450981,9.357352941176472,83.82254901960786,Negative
503,@designationsix,6.417094017094016,6.96866096866097,86.6145299145299,Negative
504,@antonio,10.164957264957263,5.8686609686609685,83.96752136752137,Positive
505,@trumpmuseveni,13.467272727272727,3.581818181818181,82.95090909090906,Positive
506,@ggirl09r,25.057549857549855,4.762108262108262,70.18034188034184,Neutral
507,@joebiden,12.466666666666665,5.807977207977209,81.72250712250705,Neutral
508,@ericliptonnyt,7.527635327635324,7.292877492877485,85.18005698005706,Negative
509,@cobycovfefe,18.81623931623931,8.177492877492877,73.00598290598295,Negative
510,@americajust,6.493732193732194,5.277777777777778,88.22820512820516,Negative
511,@kurt_themayor,14.527350427350424,9.288319088319088,76.18376068376064,Neutral
512,up,18.084330484330494,1.8433048433048431,80.07122507122509,Positive
513,@potus,14.118518518518515,5.884900284900287,79.99487179487183,Positive
514,@nwinston,10.240170940170938,2.222507122507122,87.5376068376068,Neutral
515,@biden_will,17.05342960288808,10.93465703971119,72.01010830324911,Positive
516,@trumplola,11.423361823361821,6.452991452991456,82.12279202279197,Positive
517,@nabru72118710,15.897150997150991,6.270655270655269,77.83333333333333,Positive
518,@kentjuvenile,7.137321937321939,3.6754985754985743,89.18689458689461,Positive
519,@joebidenprdy,11.04273504273504,11.477777777777778,77.4794871794872,Neutral
520,@biden_nhl,15.252046783625728,6.653801169590644,78.09649122807014,Negative
521,@lzimmerman2019,9.50740740740741,8.684900284900293,81.80712250712246,Negative
522,@potusreply,23.03333333333333,5.5,71.46666666666667,Positive
523,@mikelawrence813,13.425356125356132,8.442735042735041,78.12991452991457,Negative
524,@whcovidresponse,7.397435897435899,1.415384615384615,91.1880341880342,Neutral
525,@rdsj0101,20.454700854700857,10.037606837606834,69.50826210826212,Neutral
526,@otherjoebiden,0.0,39.800000000000004,60.199999999999996,Negative
527,@otherjoebiden,11.715384615384622,11.735612535612535,76.5481481481482,Neutral
528,@ncfarmer321,11.278062678062675,15.920512820512812,72.80113960113957,Negative
529,@dearpotus46,15.783760683760686,3.260683760683761,80.95555555555556,Positive
530,@biden4pres,11.2960113960114,6.317663817663818,82.3863247863248,Neutral
531,@mrscowpie,9.674358974358974,8.913105413105413,81.41196581196583,Positive
532,@people4kam,11.854985754985751,6.363817663817662,81.78119658119655,Neutral
533,@jakejsullivan,15.85263157894737,13.057894736842105,71.09473684210528,Positive
534,@evergreenaction,15.974928774928772,4.095156695156695,79.93076923076926,Positive
535,@bidenswins,22.964672364672364,5.725356125356122,71.30911680911684,Positive
536,@zena1clark,6.069800569800571,1.525071225071224,92.40455840455837,Neutral
537,@whitehouse,11.405128205128205,4.976353276353276,83.62051282051283,Neutral
538,@joebidenprdy2,11.78823529411765,9.410784313725495,78.8019607843137,Negative
539,@designationsix,8.962393162393164,6.9638176638176645,84.07350427350426,Negative
540,@antonio,10.723646723646716,6.503988603988603,82.77407407407406,Positive
541,@trumpmuseveni,13.943636363636363,3.581818181818181,82.47454545454544,Positive
542,@ggirl09r,31.74387464387463,4.872934472934473,63.38319088319084,Neutral
543,@joebiden,12.46182336182336,5.805698005698007,81.72962962962956,Neutral
544,@ericliptonnyt,7.527635327635324,7.292877492877485,85.18005698005706,Negative
545,@cobycovfefe,18.81623931623931,8.177492877492877,73.00598290598295,Negative
546,@americajust,8.011680911680914,10.343589743589744,81.64415954415958,Negative
547,@kurt_themayor,16.910541310541305,9.76039886039886,73.32849002848997,Positive
548,up,32.614529914529925,7.066381766381766,60.31965811965813,Positive
549,@potus,14.118518518518515,5.884900284900287,79.99487179487183,Positive
550,@nwinston,20.889743589743567,8.966951566951572,70.1418803418803,Neutral
551,@biden_will,17.6870036101083,10.78519855595668,71.52635379061371,Positive
552,@trumplola,13.822792022792024,6.374643874643877,79.80256410256406,Positive
553,@nabru72118710,18.599999999999994,7.143874643874644,74.25726495726495,Positive
